SUBMISSION_ID,COMMON_NAME,SCIENTIFIC_NAME,TAXONOMIC_ORDER,COUNT,STATE_PROVINCE,COUNTY,LOCATION_ID,LOCATION,LATITUDE,LONGITUDE,DATE,TIME,PROTOCOL,DURATION_MIN,ALL_OBS_REPORTED,DISTANCE_TRAVELED_KM,AREA_COVERED_HA,NUMBER_OF_OBSERVERS,BREEDING_CODE,OBSERVATION_DETAILS,CHECKLIST_COMMENTS,ML_CATALOG_NUMBERS,PROVINCE_FR,PROVINCE_EN,COUNTRY_FR,COUNTRY_EN,DATE_FR,DATE_EN,MJD,MJD_END,LOCSTR,ENGLISH_NAME,ORDER,FAMILY,SORT,EBIRD_CODE,SCIENTIFIC_NAME_NOSSP,YEAR
S40487974,Oie des neiges,Anser caerulescens,242,1,CA-QC,Papineau,L6470159,Plaisance,45.61667,-75.11667,1990-04-28,nan,Historical,750,1,nan,nan,2,nan,nan,"Feuillet d'ÉPOQ no 168163. Observateurs : Roland Schryer, Étienne Artigau.",nan,Québec,Quebec,Canada,Canada,,,48009.5,48010.020833333336,453700N750700W,Snow Goose,Anseriformes,Anatidae,242,snogoo,Anser caerulescens,1990
S39797130,Oie des neiges,Anser caerulescens,242,2,CA-QC,Papineau,L6309574,"Thurso, Marais de",45.6,-75.23333,1990-04-16,nan,Historical,75,1,nan,nan,3,nan,nan,"Feuillet d'ÉPOQ no 168223. Observateurs : Jean-Pierre Artigau, Étienne Artigau, Anne Artigau.",nan,Québec,Quebec,Canada,Canada,,,47997.5,47997.552083333336,453600N751359W,Snow Goose,Anseriformes,Anatidae,242,snogoo,Anser caerulescens,1990
S75436743,Oie des neiges,Anser caerulescens,242,80,CA-QC,Rimouski-Neigette,L2751569,"Quai, Pointe-au-Père",48.5188557,-68.4732342,2020-10-26,11:15 AM,eBird - Traveling Count,108,1,1.15,nan,2,nan,nan,nan,nan,Québec,Quebec,Canada,Canada,,,59148.46875,59148.54375,483107N682823W,Snow Goose,Anseriformes,Anatidae,242,snogoo,Anser caerulescens,2020
S83805197,Oie des neiges,Anser caerulescens,242,1500,CA-QC,Roussillon,L2518200,Parc Optimiste,45.4052268,-73.5650861,2021-03-21,10:42 AM,eBird - Traveling Count,38,1,.46,nan,2,nan,nan,nan,nan,Québec,Quebec,Canada,Canada,,,59294.44583333333,59294.47222222222,452418N733354W,Snow Goose,Anseriformes,Anatidae,242,snogoo,Anser caerulescens,2021
S106113380,Oie des neiges,Anser caerulescens,242,1,CA-QC,Roussillon,L2518200,Parc Optimiste,45.4052268,-73.5650861,2022-04-02,02:35 PM,eBird - Traveling Count,84,1,1.,nan,1,nan,nan,nan,431283271 431283311,Québec,Quebec,Canada,Canada,,,59671.60763888889,59671.665972222225,452418N733354W,Snow Goose,Anseriformes,Anatidae,242,snogoo,Anser caerulescens,2022
S88228342,Oie des neiges,Anser caerulescens,242,1,CA-QC,Roussillon,L465864,RF Marguerite-D'Youville,45.3914585,-73.7611771,2021-05-15,03:52 PM,eBird - Traveling Count,237,1,6.8,nan,7,nan,nan,"En compagnie de Christel, Sandrie, Myriam et les enfants.",339074161,Québec,Quebec,Canada,Canada,,,59349.66111111111,59349.825694444444,452329N734540W,Snow Goose,Anseriformes,Anatidae,242,snogoo,Anser caerulescens,2021
S32482724,Oie de Ross,Anser rossii,245,3,CA-QC,Arthabaska,L387422,Réservoir Beaudet,46.0718015,-71.9707489,2016-11-10,10:00 AM,eBird - Stationary Count,180,1,nan,nan,3,nan,nan,"Jean-Pierre Artigau, Etienne Artigau et moi",39869801,Québec,Quebec,Canada,Canada,,,57702.416666666664,57702.541666666664,460418N715814W,Ross's Goose,Anseriformes,Anatidae,245,rosgoo,Anser rossii,2016
S32482724,Hybride Oie des neiges x O. de Ross,Anser caerulescens x rossii,246,2,CA-QC,Arthabaska,L387422,Réservoir Beaudet,46.0718015,-71.9707489,2016-11-10,10:00 AM,eBird - Stationary Count,180,1,nan,nan,3,nan,"Taille intermédiaire entre l'Oie de Ross et l'Oie des neiges. Bec plus petit que l'Oie des neiges avec un petit 'sourire', mais plus gros que celui des l'Oie de Ross. Un adulte, un jeune. Le jeune est intermédiaire entre les deux oies en terme de couleur.","Jean-Pierre Artigau, Etienne Artigau et moi",39869791,Québec,Quebec,Canada,Canada,,,57702.416666666664,57702.541666666664,460418N715814W,Snow x Ross's Goose (hybrid),Anseriformes,Anatidae,246,sxrgoo1,Anser caerulescens x rossii,2016
S18575053,Oie cendrée,Anser anser,248,1,US-NJ,Cape May,L109136,"Cape Island, South Cape May Meadows",38.9359287,-74.9434519,1993-07-26,nan,Historical,0,1,nan,nan,1,nan,nan,nan,nan,New Jersey,New Jersey,États-Unis,United States,,,49194.5,49194.5,385609N745636W,Graylag Goose,Anseriformes,Anatidae,248,gragoo,Anser anser,1993
S18566886,Oie cendrée,Anser anser,248,5,CA-QC,Gatineau,L489654,Rapides Deschênes,45.37778,-75.79972,1989-10-10,nan,eBird - Casual Observation,0,0,nan,nan,1,nan,nan,nan,nan,Québec,Quebec,Canada,Canada,,,47809.5,47809.5,452240N754758W,Graylag Goose,Anseriformes,Anatidae,248,gragoo,Anser anser,1989
